shortwave_radiation_sum,cloudcover_mean,temperature_2m_mean,date
2.11,62,3.1,2024-11-12
1.53,53,4.4,2024-11-13
1.17,83,4.5,2024-11-14
1.3,88,7.8,2024-11-15
1.85,23,6.6,2024-11-16
1.76,71,2.5,2024-11-17
0.88,69,0.6,2024-11-18
1.55,51,-3.8,2024-11-19
0.79,98,-1.5,2024-11-20
0.66,100,-4.8,2024-11-21
0.67,91,-6.0,2024-11-22
1.53,27,-6.9,2024-11-23
1.14,79,-4.8,2024-11-24
0.53,100,4.3,2024-11-25
0.34,74,4.0,2024-11-26
0.35,68,-0.6,2024-11-27
1.11,13,-6.6,2024-11-28
0.48,96,-4.0,2024-11-29
0.32,81,1.2,2024-11-30
0.45,86,4.8,2024-12-01
0.39,99,4.3,2024-12-02
0.98,21,-3.1,2024-12-03
0.86,51,-7.9,2024-12-04
0.62,68,-6.2,2024-12-05
0.34,100,-0.8,2024-12-06
0.41,88,-0.8,2024-12-07
0.49,77,-2.4,2024-12-08
0.74,35,-4.1,2024-12-09
0.72,48,-0.7,2024-12-10
0.68,51,-0.5,2024-12-11
0.69,72,-4.5,2024-12-12
0.28,100,-2.0,2024-12-13
0.23,98,-0.2,2024-12-14
0.3,89,-4.3,2024-12-15
0.63,19,0.9,2024-12-16
0.52,63,1.5,2024-12-17
0.15,98,-1.6,2024-12-18
0.4,88,2.0,2024-12-19
0.53,73,-2.7,2024-12-20
0.54,85,-4.1,2024-12-21
0.26,98,1.6,2024-12-22
0.16,94,-2.3,2024-12-23
0.47,80,-3.2,2024-12-24
0.43,82,3.9,2024-12-25
0.42,77,3.2,2024-12-26
0.63,12,-2.2,2024-12-27
0.44,85,-2.3,2024-12-28
0.58,77,3.0,2024-12-29
0.69,16,-0.6,2024-12-30
0.72,54,-4.6,2024-12-31
0.6,86,-11.0,2025-01-01
0.63,52,-7.8,2025-01-02
0.76,69,-11.6,2025-01-03
0.66,60,-8.6,2025-01-04
0.77,25,-11.9,2025-01-05
0.44,89,-5.3,2025-01-06
0.27,100,-0.7,2025-01-07
0.57,83,0.6,2025-01-08
0.2,100,-0.4,2025-01-09
0.48,76,-7.1,2025-01-10
1.16,4,-8.3,2025-01-11
1.15,38,-8.6,2025-01-12
0.52,100,-3.5,2025-01-13
0.78,60,3.6,2025-01-14
0.71,83,0.2,2025-01-15
1.22,85,3.6,2025-01-16
1.04,72,4.2,2025-01-17
0.89,68,2.1,2025-01-18
1.51,38,0.7,2025-01-19
1.36,92,-1.8,2025-01-20
0.23,100,-1.0,2025-01-21
0.46,100,-2.1,2025-01-22
0.47,100,-3.3,2025-01-23
1.23,93,0.4,2025-01-24
1.93,44,2.9,2025-01-25
1.83,58,-1.1,2025-01-26
1.88,83,-8.6,2025-01-27
1.65,93,-0.2,2025-01-28
0.33,100,0.7,2025-01-29
2.55,31,-2.0,2025-01-30
1.31,46,-2.4,2025-01-31
2.96,11,-3.2,2025-02-01
0.82,86,-3.9,2025-02-02
0.92,100,-4.6,2025-02-03
0.67,100,-1.5,2025-02-04
1.36,79,2.3,2025-02-05
3.33,34,-3.3,2025-02-06
3.7,59,-6.4,2025-02-07
1.43,98,-2.1,2025-02-08
3.96,33,-4.5,2025-02-09
3.92,28,-3.4,2025-02-10
4.16,1,-5.9,2025-02-11
4.34,24,-4.8,2025-02-12
4.5,50,-5.3,2025-02-13
4.91,51,-8.8,2025-02-14
2.85,47,-8.5,2025-02-15
4.56,69,-6.2,2025-02-16
5.31,54,-5.7,2025-02-17
5.57,20,-5.1,2025-02-18
5.71,33,-7.6,2025-02-19
5.6,63,-9.2,2025-02-20
4.63,81,0.0,2025-02-21
2.85,100,3.1,2025-02-22
5.75,66,1.8,2025-02-23
1.84,100,2.8,2025-02-24
4.52,89,2.9,2025-02-25
6.56,48,0.6,2025-02-26
3.43,81,0.7,2025-02-27
7.29,28,-0.6,2025-02-28
4.58,94,1.1,2025-03-01
3.96,93,2.6,2025-03-02
5.96,84,5.0,2025-03-03
5.78,99,3.0,2025-03-04
7.2,100,5.6,2025-03-05
6.54,98,8.7,2025-03-06
8.02,78,5.9,2025-03-07
9.1,73,4.0,2025-03-08
1.48,100,0.3,2025-03-09
3.17,87,-0.6,2025-03-10
6.85,66,-4.0,2025-03-11
4.82,100,-2.5,2025-03-12
10.38,28,-4.9,2025-03-13
11.22,28,-4.2,2025-03-14
7.03,92,1.4,2025-03-15
10.72,18,-1.0,2025-03-16
3.05,95,0.7,2025-03-17
7.63,88,6.2,2025-03-18
7.95,91,5.8,2025-03-19
8.96,66,2.9,2025-03-20
12.27,1,1.6,2025-03-21
12.86,1,1.4,2025-03-22
13.22,41,0.4,2025-03-23
12.19,58,2.2,2025-03-24
6.12,100,4.7,2025-03-25
10.54,76,4.4,2025-03-26
10.93,88,6.5,2025-03-27
8.11,90,8.2,2025-03-28
12.98,35,7.5,2025-03-29
10.74,80,4.5,2025-03-30
14.19,41,5.1,2025-03-31
13.33,81,7.6,2025-04-01
13.55,82,10.2,2025-04-02
15.39,55,8.7,2025-04-03
14.94,24,4.2,2025-04-04
11.58,58,1.9,2025-04-05
9.09,89,6.4,2025-04-06
14.43,58,5.6,2025-04-07
14.59,60,5.7,2025-04-08
13.65,64,3.4,2025-04-09
4.76,86,2.9,2025-04-10
13.1,77,3.0,2025-04-11
12.51,63,6.8,2025-04-12
17.22,70,7.4,2025-04-13
11.39,65,8.7,2025-04-14
17.24,35,5.7,2025-04-15
17.24,50,7.5,2025-04-16
17.33,47,8.4,2025-04-17
7.11,97,9.9,2025-04-18
10.52,100,10.2,2025-04-19
5.23,100,4.4,2025-04-20
18.72,44,3.6,2025-04-21
6.41,96,3.8,2025-04-22
13.31,60,5.4,2025-04-23
15.27,61,2.9,2025-04-24
20.16,23,4.0,2025-04-25
15.61,60,3.0,2025-04-26
17.65,78,6.6,2025-04-27
12.62,66,10.1,2025-04-28
19.01,50,9.4,2025-04-29
7.8,75,4.6,2025-04-30
20.38,59,7.0,2025-05-01
9.03,85,10.2,2025-05-02
17.81,62,8.1,2025-05-03
18.32,46,4.9,2025-05-04
11.67,63,5.6,2025-05-05
17.15,80,4.4,2025-05-06
18.14,63,5.4,2025-05-07
9.55,96,5.1,2025-05-08
4.31,100,4.2,2025-05-09
13.23,99,4.9,2025-05-10
18.75,61,6.0,2025-05-11
23.49,38,8.7,2025-05-12
15.72,76,11.0,2025-05-13
20.39,54,7.5,2025-05-14
23.55,19,10.1,2025-05-15
22.51,44,11.7,2025-05-16
24.46,35,10.6,2025-05-17
26.69,0,9.1,2025-05-18
26.27,3,14.3,2025-05-19
23.2,47,13.0,2025-05-20
17.74,89,7.3,2025-05-21
2.83,100,3.3,2025-05-22
8.15,92,5.9,2025-05-23
19.18,42,8.8,2025-05-24
24.13,21,9.2,2025-05-25
17.11,68,12.7,2025-05-26
22.6,51,12.3,2025-05-27
23.8,32,12.8,2025-05-28
24.64,29,12.6,2025-05-29
11.78,67,10.6,2025-05-30
24.08,27,11.5,2025-05-31
26.36,53,11.7,2025-06-01
25.34,38,14.1,2025-06-02
25.02,22,11.7,2025-06-03
15.92,78,13.7,2025-06-04
24.67,57,14.5,2025-06-05
16.47,95,12.8,2025-06-06
15.54,92,12.2,2025-06-07
24.89,72,12.8,2025-06-08
23.19,58,12.8,2025-06-09
25.43,83,12.5,2025-06-10
18.59,91,11.8,2025-06-11
29.14,20,12.6,2025-06-12
27.0,61,13.1,2025-06-13
28.05,69,19.2,2025-06-14
25.02,77,21.1,2025-06-15
14.37,69,15.2,2025-06-16
19.91,54,16.6,2025-06-17
23.83,28,14.9,2025-06-18
21.52,53,14.1,2025-06-19
16.8,61,14.5,2025-06-20
18.6,79,13.7,2025-06-21
24.38,55,13.6,2025-06-22
7.8,100,12.3,2025-06-23
5.03,98,12.1,2025-06-24
23.18,44,16.2,2025-06-25
28.14,40,14.4,2025-06-26
10.09,95,13.8,2025-06-27
16.79,55,15.0,2025-06-28
25.78,28,15.1,2025-06-29
25.91,33,16.0,2025-06-30
24.8,67,17.9,2025-07-01
8.94,94,13.1,2025-07-02
5.03,90,11.1,2025-07-03
23.66,38,14.1,2025-07-04
16.78,68,12.9,2025-07-05
6.07,100,12.1,2025-07-06
19.18,85,13.5,2025-07-07
24.07,85,15.8,2025-07-08
28.47,1,16.5,2025-07-09
28.35,0,15.8,2025-07-10
28.22,1,16.8,2025-07-11
27.08,8,18.0,2025-07-12
20.82,74,18.7,2025-07-13
23.01,48,18.7,2025-07-14
26.53,23,20.7,2025-07-15
26.75,6,20.0,2025-07-16
26.91,1,19.9,2025-07-17
26.96,0,19.7,2025-07-18
25.48,8,21.2,2025-07-19
26.36,0,20.3,2025-07-20
25.91,1,21.0,2025-07-21
24.76,7,21.5,2025-07-22
24.74,25,22.7,2025-07-23
25.29,1,23.1,2025-07-24
19.94,31,21.5,2025-07-25
19.59,60,21.2,2025-07-26
22.51,40,20.7,2025-07-27
21.5,61,20.4,2025-07-28
7.3,94,18.4,2025-07-29
23.51,58,19.4,2025-07-30
18.73,67,20.0,2025-07-31
18.33,72,19.3,2025-08-01
12.48,87,18.6,2025-08-02
19.44,48,17.8,2025-08-03
12.57,73,17.9,2025-08-04
16.93,73,17.0,2025-08-05
16.56,73,15.7,2025-08-06
19.39,39,16.4,2025-08-07
18.29,45,17.0,2025-08-08
21.98,40,17.7,2025-08-09
21.25,15,16.7,2025-08-10
15.92,41,14.7,2025-08-11
18.5,54,15.7,2025-08-12
19.65,39,16.7,2025-08-13
20.42,26,20.5,2025-08-14
15.44,65,18.2,2025-08-15
8.05,80,13.8,2025-08-16
20.3,35,15.5,2025-08-17
18.12,41,17.0,2025-08-18
18.78,18,14.5,2025-08-19
14.94,56,12.6,2025-08-20
15.6,64,11.9,2025-08-21
13.46,90,10.5,2025-08-22
9.91,68,11.1,2025-08-23
15.37,57,13.0,2025-08-24
15.82,48,12.8,2025-08-25
17.0,32,11.9,2025-08-26
15.44,56,12.7,2025-08-27
14.88,32,14.0,2025-08-28
12.54,88,13.7,2025-08-29
13.85,77,13.8,2025-08-30
15.37,48,13.7,2025-08-31
15.56,63,13.7,2025-09-01
6.46,99,14.7,2025-09-02
8.48,73,15.8,2025-09-03
12.46,52,16.4,2025-09-04
14.28,67,16.2,2025-09-05
8.59,92,15.9,2025-09-06
11.08,79,16.2,2025-09-07
14.05,93,15.3,2025-09-08
8.81,94,15.1,2025-09-09
12.37,60,15.3,2025-09-10
6.12,100,16.4,2025-09-11
10.02,73,15.3,2025-09-12
12.25,20,13.4,2025-09-13
9.49,92,12.9,2025-09-14
7.56,77,13.8,2025-09-15
8.33,81,12.9,2025-09-16
8.28,64,12.3,2025-09-17
9.78,60,11.1,2025-09-18
10.18,61,11.7,2025-09-19
8.14,87,15.3,2025-09-20
4.88,78,13.0,2025-09-21
10.91,29,10.4,2025-09-22
11.46,34,9.0,2025-09-23
7.24,66,10.2,2025-09-24
10.61,35,10.2,2025-09-25
10.7,49,9.2,2025-09-26
8.65,94,9.0,2025-09-27
7.59,88,9.1,2025-09-28
8.69,33,9.1,2025-09-29
8.53,36,7.3,2025-09-30
8.34,19,6.1,2025-10-01
9.35,19,7.1,2025-10-02
8.82,31,8.6,2025-10-03
3.46,98,8.9,2025-10-04
4.99,64,9.3,2025-10-05
6.7,53,8.8,2025-10-06
3.93,98,10.3,2025-10-07
4.45,79,10.8,2025-10-08
4.06,51,7.0,2025-10-09
6.44,51,8.4,2025-10-10
6.63,47,9.9,2025-10-11
6.4,14,7.9,2025-10-12
1.8,80,5.2,2025-10-13
4.39,90,7.3,2025-10-14
6.29,24,9.1,2025-10-15
5.81,30,7.2,2025-10-16
4.89,36,3.2,2025-10-17
5.55,39,2.3,2025-10-18
4.91,84,2.5,2025-10-19
4.41,98,2.0,2025-10-20
3.37,97,4.9,2025-10-21
1.2,99,8.9,2025-10-22
1.7,94,8.9,2025-10-23
0.64,100,8.2,2025-10-24
1.05,100,8.5,2025-10-25
3.31,99,7.6,2025-10-26
2.61,100,4.9,2025-10-27
1.47,100,5.0,2025-10-28
1.95,94,4.6,2025-10-29
0.4,100,4.4,2025-10-30
1.29,99,4.6,2025-10-31
1.94,98,4.7,2025-11-01
2.2,92,7.4,2025-11-02
2.12,56,4.4,2025-11-03
0.95,99,8.3,2025-11-04
1.88,71,9.1,2025-11-05
1.13,94,5.3,2025-11-06
0.43,100,5.7,2025-11-07
0.96,97,6.1,2025-11-08
1.74,95,4.2,2025-11-09
0.35,100,2.5,2025-11-10
1.0,100,5.1,2025-11-11
0.29,94,7.1,2025-11-12
1.6,57,4.2,2025-11-13
1.58,19,-0.6,2025-11-14
0.86,83,0.8,2025-11-15
1.27,75,1.5,2025-11-16
1.93,2,-4.3,2025-11-17
1.5,83,-6.7,2025-11-18
0.73,99,-5.8,2025-11-19
1.05,66,-5.9,2025-11-20
1.74,42,-8.9,2025-11-21
0.98,73,-4.2,2025-11-22
0.52,99,1.4,2025-11-23
0.31,100,-1.7,2025-11-24
1.19,54,-6.5,2025-11-25
1.27,41,-10.8,2025-11-26
0.17,98,-1.2,2025-11-27
0.94,51,4.2,2025-11-28
0.64,36,4.6,2025-11-29
0.25,74,-0.6,2025-11-30
0.56,93,0.4,2025-12-01
0.41,100,1.8,2025-12-02
0.55,95,1.7,2025-12-03
0.26,93,-0.1,2025-12-04
0.36,100,-0.2,2025-12-05
0.08,100,3.0,2025-12-06
0.21,100,2.5,2025-12-07
0.14,100,2.7,2025-12-08
0.28,77,1.9,2025-12-09
0.07,88,0.4,2025-12-10
0.16,84,0.6,2025-12-11
0.12,100,-0.3,2025-12-12
0.1,99,0.2,2025-12-13
0.09,81,0.3,2025-12-14
0.21,100,2.9,2025-12-15
0.3,94,4.5,2025-12-16
0.4,60,3.0,2025-12-17
0.27,87,2.1,2025-12-18
0.13,90,4.8,2025-12-19
0.59,26,4.8,2025-12-20
0.57,9,2.8,2025-12-21
0.3,88,-1.5,2025-12-22
0.33,83,-2.2,2025-12-23
0.6,23,-2.0,2025-12-24
0.24,98,6.3,2025-12-25
0.53,56,4.1,2025-12-26
0.63,14,1.8,2025-12-27
0.54,53,2.0,2025-12-28
0.54,15,-2.0,2025-12-29
0.7,33,-3.9,2025-12-30
0.66,80,-6.7,2025-12-31
0.16,100,-2.7,2026-01-01
0.28,100,-5.0,2026-01-02
0.23,100,-8.4,2026-01-03
0.31,85,-9.8,2026-01-04
0.92,60,-21.4,2026-01-05
0.33,99,-12.1,2026-01-06
0.36,99,-2.9,2026-01-07
0.41,100,-1.2,2026-01-08
0.36,84,-5.2,2026-01-09
1.02,49,-13.1,2026-01-10
0.94,85,-15.3,2026-01-11
0.3,100,-6.9,2026-01-12
